iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AFG,Afghanistan,2019,,,,,,,-14.326,-6.015,0,0,,,,,,,0,,,,,0,,,,6.42,0,0,0.152,0.152,0.84,0,0,0,0,0.88,0.04,0,1.032,,945.645,,,,,,3.996,14.729,,14.729,,,,,3.996,,,,81.395,,,,,22.081,,85.271,0.88,23.132,,,,,,83.926,5.388,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,27.128,38041756,35.974,23.132,85.271,,,,,,3.876,,,,,1.051,,0,,,,,0,
OWID_AFR,Africa,2019,-0.481,-9.174,0.969,23.388,2.039,93.322,1.897,102.767,,,-9.363,0.014,-0.08,0.777,0.594,,29.617,2.722,21.725,31.775,1199.23,195.486,916.798,1898.729,1451.557,,,255.708,669.175,337.521,137.216,13.596,75.946,,8.228,175.208,10.907,18.858,863.381,,4220.019,1.455,91.516,72.467,5051.763,3862.014,511.577,77.506,,39.093,0.853,28.141,13.136,1553.384,258.031,1187.545,2437.767,1863.645,15.893,2.681,6.155,8.871,339.776,104.9,259.755,21.868,188.804,144.339,6.918,8.484,30.3,468.298,358.008,,,1.575,16.976,0.61,4.886,33.667,10.394,25.738,8.796,1.213,41.651,27.556,2299.144,58.06,1757.671,4670.046,3570.196,,6.29,1.233,0.369,0.248,20.375,,0.953,15.576,660.045,1308064186,5520.056,133.945,20.293,6.21,7.874,25.414,434.631,332.27,1.263,30.996,0.489,6.391,27.008,8.338,20.647,2.184,27.199,0.846,9.985,46.696,14.417,35.698
ALB,Albania,2019,,,,,,,-22.11,-9.213,0,0,,,,,,,0,,,,,0,,,,7.61,0,0,0,0,5.18,0,0,0,0,5.2,0.02,0,5.2,,11266.257,,,,,,0,0,,0,,,,,0,,,,99.615,,,,,1798.041,,100,5.2,1804.983,,,,,,31.669,2.41,0,,,,,0,,0,,,,,0,,,,0,0,,,,,0,0,,1804.983,2880913,32.457,1804.983,100,,,,,,0.385,,,,,6.942,,0,,,,,0,
DZA,Algeria,2019,,,-7.344,-68.915,-1.534,-11.653,3.59,24.088,0,0,,,,,,,0,-17.4,0.691,-1.012,4.803,0,111.565,,,74.237,0,0,73.616,73.616,0.106,0,0,0,0,0.732,0.615,0.011,74.348,,16146.19,3.583,99.723,23.979,693.219,16101.513,1709.885,99.015,,99.015,3.991,64.938,17.325,451.412,1709.885,10485.036,869.522,20196.534,0.143,29.436,0.054,0.086,0.376,2.472,8.742,0.985,0.732,17.012,6.045,0.277,0.11,1.924,44.689,-0.15,-0.111,0,,0,0,0,0,0,0,3.342,34.094,7.665,237.003,0,5504.912,748.158,17377.579,0,0,,0,0,0,0,0,0,1726.898,43053056,695.143,17.012,0.985,6.045,0.277,0.11,1.924,44.689,0.827,1.614,0.219,0.024,1.523,14.285,35.372,0.015,-0.447,0.004,0,0.025,0.255,0.575
ASM,American Samoa,2019,,,,,,,0,0,0,0,,,,,,,0,,,,,0,,,,0.163,0,0,0.163,0,0,0,0.163,0,0,0,0,0,0.163,,26023.669,,,,,,2946.919,100,,0,,,,,0,,,,0,,,,,0,,0,0,0,,,,,,0,0,0,,,,,0,,100,,,,,2946.919,,,,0,0,,,,,0,0,,2946.919,55312,1.439,0,0,,,,,,0,,,,,0,,0,,,,,0,
AGO,Angola,2019,,,0,,-6.77,-58.331,10.267,10.163,2.025,7.939,,,,,,,0,,,,,0,,,,12.478,0.253,0,2.357,1.284,9.85,0,1.074,0,0.253,10.121,0.018,0,12.478,,3429.593,,,,,,74.067,18.891,,10.287,,,,,40.333,,,,78.94,,,,,309.498,,81.109,10.121,318.003,,,,,,0,0,0,,,,,0,,8.604,,,,,33.734,,803.283,25240.386,0,7.939,,,,,0,2.025,,392.07,31825298,109.148,318.003,81.109,,,,,,0.144,,,,,0.566,,0,,,,,0,
,Antarctica,2019,,,,,,,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,2019,,,,,,,0.431,0.013,0,0,,,,,,,0,,,,,0,,,,0.342,0,0,0.327,0,0,0,0.327,0,0,0.015,0.015,0,0.342,,31384.862,,,,,,3363.71,95.61,,0,,,,,0,,,,0,,,,,0,,4.39,0.015,154.456,,,,,,0,0,0,,,,,0,,95.61,,,,,3363.71,,,,0,0,,,,,0,0,,3518.166,97115,3.048,154.456,4.39,,,,,,4.39,,,,,154.456,,0,,,,,0,
ARG,Argentina,2019,0,,5.556,21.904,4.693,15.032,-5.818,-58.016,1.299,38.499,2.137,1.914,0.376,17.97,401.292,,0.558,-40.741,0.865,-5.585,8.124,16.54,181.417,,,144.667,1.724,0.741,89.9,85.787,27.335,7.927,3.372,0,1.724,34.856,0.8,4.997,132.683,,20970.785,-7.194,84.394,-61.432,792.53,17698.047,2007.556,67.755,,64.656,-4.404,49.58,-21.448,465.595,1915.706,10397.233,416.158,9293.253,20.602,-11.328,9.774,-11.725,91.785,610.417,2049.667,32.245,42.783,955.387,2.386,15.606,3.416,146.556,3272.755,8.284,11.984,5.974,22.408,2.226,3.827,20.907,177.018,466.869,2.542,-9.739,33.949,-34.4,318.811,75.31,7119.397,335.349,7488.702,0,38.499,31.212,0.164,0.367,1.543,0,1.299,34.447,2962.943,44780676,939.086,778.369,26.27,-0.326,13.38,-0.411,125.649,2805.886,0.603,636.844,0.211,1.711,1.98,17.865,44.221,3.766,252.332,1.317,8.86,12.371,111.588,276.26
ARM,Armenia,2019,,,,,,,7.057,3.029,0,0,,,,,,,0,,,,,0,,,,6.298,0,0,2.864,2.864,2.347,2.029,0,0,0,2.363,0.013,0.003,7.256,,15538.199,,,,,,968.372,39.471,,39.471,,,,,968.372,,,,32.348,,,,,793.613,,60.529,4.392,1485.022,,,,,,-15.21,-0.958,27.961,,,,,686,,0,,,,,0,,,,0,0,,,,,0,0,,2453.393,2957728,45.958,799.022,32.568,,,,,,0.179,,,,,4.395,,0.041,,,,,1.014,
