iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
CHN,China,2016,-7.534,-1602.728,1.675,22.727,-6.933,-172.996,1.658,582.673,1.086,46.25,1.762,0.077,0.478,27.633,19.542,,65.513,-0.894,62.359,-201.032,22281.407,2790.355,15757.176,19671.232,13911.276,6010.078,65.4,3945.7,4261.9,188.3,1174.8,213.2,127.9,0.1,65.5,1547.7,66.5,240.9,6022.8,2.071,25268.551,0.564,87.705,175.76,31337.769,22161.722,3013.968,70.763,1.72555E+13,3.126,7.577,5.862,147.516,2094.411,133.164,1481.145,1379.416,975.508,19.506,2.865,8.117,80.77,2900.231,830.805,2051.011,29.237,1760.9,1245.289,10.208,12.295,406.914,4393.239,3106.85,-0.212,-12.722,3.54,23.655,1.5,102.554,536.1,150.773,379.124,2.124,3.405,19.484,229.276,6961.926,90.449,4923.4,2322.337,1642.331,0.071,46.321,14.235,0.437,19.471,156.256,0.002,1.088,110.503,4259.257,1414049408,35730.98,1094.516,25.697,8.567,10.795,304.36,3857.139,2727.726,1.104,67.511,0.468,67.428,167.304,47.028,118.316,4,29.012,1.695,136.212,605.715,170.362,428.355
IND,India,2016,1.032,33.728,-5.545,-15.605,-2.305,-11.039,4.431,353.051,1.279,11.819,20.031,0.208,2.889,17.313,13.071,,76.482,1.744,56.227,80.177,4678.424,706.848,3532.175,3301.831,2492.856,1223.033,15.655,936.233,986.76,50.212,128.611,37.884,0.315,0.208,15.863,199.483,11.556,43.453,1224.126,1.071,6281.97,4.488,92.354,330.094,7684.369,5801.637,744.996,80.609,7.76745E+12,4.102,6.242,6.104,29.841,507.91,37.909,383.468,265.823,200.694,10.506,-4.247,3.88,-14.32,322.853,97.1,243.752,19.391,237.367,179.21,3.743,7.646,22.957,636.216,480.338,-0.089,-1.093,3.095,-1.656,1.145,-1.604,95.305,28.602,71.954,0.026,9.661,30.022,220.075,2498.029,0.238,1885.994,467.792,353.179,0.157,11.977,-4.447,0.75,-2.904,62.409,0.017,1.296,47.119,924.206,1324517248,8320.578,150.608,16.296,4.757,6.501,24.562,540.912,408.384,0.944,74.946,0.349,12.45,29.061,8.725,21.941,3.55,31.93,1.313,26.447,109.275,32.806,82.502
IDN,Indonesia,2016,-1.163,-36.789,-1.421,-10.822,5.388,25.43,1.144,22.548,0.766,6.878,204.804,1.421,19.03,28.321,108.279,,53.842,4.303,31.135,25.597,620.408,483.191,2371.987,3126.366,11952.934,235.42,1.799,126.382,203.755,55.394,18.49,0,21.98,10.656,12.455,30.972,0.021,0.006,234.727,0.716,7618.335,-0.539,94.836,-10.249,1889.729,7224.94,779.011,86.805,2.78316E+12,23.599,-2.458,22.398,-11.248,446.308,211.785,1706.355,750.8,2870.508,7.877,35.121,2.357,12.208,46.969,70.692,179.573,13.195,30.972,118.414,46.785,5.164,32.797,102.896,393.401,0.294,0.693,0,,0,0,0,0,0,9.364,-2.902,41.303,-24.598,823.012,84.035,3146.599,497.372,1901.585,40.741,47.619,5.818,1.382,1.514,27.539,4.54,5.306,105.291,897.425,261556384,1992.624,118.414,13.195,46.785,5.164,32.797,102.896,393.401,0.009,296.95,0.003,0.04,0.053,0.08,0.203,0.003,52.819,0.001,0.005,0.014,0.023,0.055
,Middle East,2016,10.187,0.926,3.869,232.434,6.234,1023.514,2.863,276.924,,,-10.409,0.001,-0.011,0.099,,,2.159,-7.812,1.132,-9.55,112.687,,,10.015,,,,24.693,1113.178,750.524,20.146,6.474,337.961,,0.317,23.938,2.797,0.678,1143.671,1.072,,2.682,99.23,257.867,9873.811,,,97.334,9.27827E+12,65.624,4.531,50.344,217.12,5009.47,,,6240.527,,1.762,19.439,0.509,8.245,50.663,,,2.659,30.412,,33.13,0.77,19.057,76.58,,,,0.566,84.13,0.164,7.439,16.281,,,29.551,1.07,47.753,50.297,4751.646,,,17442.223,,,,49.243,0.008,0.263,0.798,,0.028,,,,9950.383,,2.093,23.866,0.606,11.618,60.298,,0.245,51.194,0.071,2.381,7.033,,,0.059,76.534,0.017,0.739,1.705,,
IRN,Iran,2016,4.595,0.455,8.605,157.94,19.918,417.535,4.752,131.104,0.009,0.302,,,,,,,0.17,-3.088,0.609,-0.561,17.591,5.805,221.092,10.351,130.093,269.82,0.024,0.462,249.828,211.689,16.257,5.924,37.677,0,0.024,16.535,0.004,0.25,272.287,2.153,36323.606,4.357,98.069,118.332,2834.257,35622.354,3139.969,91.752,1.34249E+12,77.745,6.684,67.929,122.996,1963.19,2660.618,24674.378,1993.419,25054.288,5.971,15.686,1.342,5.259,38.783,204.326,487.446,8.248,22.459,282.276,29.686,1.931,12.772,55.797,701.281,-0.914,-2.467,2.176,84.13,0.563,7.439,16.281,74.456,204.634,13.837,-0.479,29.531,-4.104,853.473,473.546,10726.884,2513.76,31594.191,0,0.302,32.951,0.002,0.014,0.055,0,0.009,0.689,3422.245,79563992,2890.051,207.82,6.073,15.602,1.367,5.333,39.515,496.647,0.001,230.657,0,0.009,0.013,0.05,0.158,0.092,8.479,0.023,0.052,0.665,3.142,8.354
CHN,China,2017,3.329,654.878,8.161,112.579,-4.096,-95.122,3.244,1159.15,1.256,57.001,-6.73,0.07,-1.86,25.773,18.137,,64.791,0.467,60.681,104.036,22385.443,2940.279,15753.075,20326.109,14303.87,6436.84,81,4178.2,4506.4,203.2,1193.1,248.1,125,0.1,81.1,1694.2,116.6,303.4,6448.7,2.099,25960.286,2.357,86.951,738.707,32076.476,22572.826,3171.239,69.881,1.75751E+13,3.151,15.188,6.54,318.109,2412.519,142.996,1697.737,1491.995,1049.945,18.501,0.429,7.896,12.434,2912.665,839.607,2049.698,30.119,1942.3,1366.833,9.57,13.049,420.444,4813.683,3387.48,-0.184,-11.86,3.847,15.697,1.681,84.15,620.25,174.593,436.482,1.938,4.547,19.73,316.562,7278.487,87.965,5122.014,2227.215,1567.333,0.07,57.072,27.351,0.539,42.738,198.994,0.002,1.258,140.036,4538.073,1421021696,36890.13,1192.241,26.272,8.719,11.367,336.294,4193.433,2950.998,1.808,76.027,0.798,127.196,294.5,82.054,207.245,4.705,25.719,2.064,155.786,761.501,213.508,535.882
IND,India,2017,0.846,27.922,4.18,11.11,0.534,2.499,3.959,329.398,1.048,10.068,-11.994,0.176,-2.077,15.237,11.382,,75.672,3.554,56.008,166.285,4844.708,726.791,3619.031,3329.753,2487.346,1284.147,13.478,972.939,1023.443,50.256,135.865,38.438,0.249,0.34,13.819,223.857,21.545,52.629,1285.739,1.045,6461.587,3.508,91.953,269.589,7953.957,5941.656,764.519,79.6,8.27565E+12,3.909,5.797,6.212,29.446,537.355,37.542,401.408,276.933,206.871,10.567,5.174,3.926,16.705,339.559,101.492,253.652,20.4,262.296,195.936,9.401,8.047,59.81,696.026,519.936,-0.124,-1.592,2.99,-1.856,1.081,-1.768,93.536,28.714,69.872,0.019,2.957,29.733,73.858,2571.887,0.186,1921.218,470.291,351.31,0.254,10.323,-0.222,0.72,-0.139,62.271,0.026,1.075,46.516,960.455,1338676736,8649.976,167.223,17.411,11.384,6.965,61.578,602.49,450.064,1.676,85.34,0.623,24.801,53.861,16.094,40.235,4.093,20.396,1.521,22.288,131.562,39.314,98.278
IDN,Indonesia,2017,1.107,34.611,-3.163,-23.75,-4.204,-20.91,4.167,83.026,0.344,3.132,-14.073,1.172,-3.986,24.335,91.953,,57.559,7.156,32.029,44.398,664.806,524.861,2512.012,3160.977,11943.946,242.445,0.829,138.905,209.252,52.298,18.446,0,18.048,12.764,13.593,32.074,0.029,0.006,241.326,0.71,7842.971,4.354,95.007,82.285,1972.015,7451.379,790.67,86.709,2.92427E+12,21.671,-3.171,20.82,-14.154,432.153,197.611,1632.919,727.05,2747.203,7.644,-0.825,2.244,-0.388,46.581,69.699,176.009,13.291,32.074,121.194,0.719,4.993,0.74,103.637,391.598,0.462,1.119,0,,0,0,0,0,0,7.479,6.323,42.158,52.042,875.054,68.197,3306.448,476.461,1800.339,48.23,51.362,18.549,1.573,5.108,32.648,5.289,5.633,123.361,911.863,264650976,2075.65,121.194,13.291,0.719,4.993,0.74,103.637,391.598,0.012,36.933,0.003,0.02,0.073,0.11,0.274,0.002,-100,0,-0.014,0,0.023,0
,Middle East,2017,13.589,1.361,2.474,154.391,-1.638,-285.763,1.344,133.74,,,-6.736,0.001,-0.007,0.092,,,1.907,-1.441,1.101,-1.624,111.063,,,11.376,,,,22.702,1157.984,815.365,20.615,6.958,319.917,,0.323,25.641,3.909,0.795,1190.45,1.043,,1.304,99.191,128.73,10002.541,,,97.273,9.66402E+12,68.492,3.141,51.237,157.371,5166.842,,,6394.918,,1.732,1.725,0.511,0.874,51.537,,,2.738,32.599,,6.542,0.809,5.01,81.589,,,,0.584,6.833,0.172,1.113,17.394,,,26.874,-0.569,46.852,-27.017,4724.629,,,17156.46,,,,1.053,0.008,0.008,0.807,,0.027,,,,10084.123,,2.154,6.463,0.637,3.897,64.195,,0.328,38.93,0.097,2.738,9.771,,,0.067,16.615,0.02,0.283,1.988,,
IRN,Iran,2017,0,,7.255,144.619,7.045,177.09,3.755,108.524,0.008,0.297,,,,,,,0.206,8.888,0.639,1.564,19.154,7.412,237.431,,,285.25,0.024,0.598,267.889,239.733,14.9,6.366,27.558,0,0.024,15.315,0.085,0.306,289.57,2.09,37169.088,3.627,97.949,102.805,2937.062,36406.599,3320.637,92.513,1.43452E+12,82.789,4.4,68.352,86.387,2049.577,2971.628,25405.731,2138.038,26502.235,5.146,11.079,1.437,4.297,43.08,184.694,534.002,7.487,21.681,268.749,10.249,2.051,5.719,61.515,762.518,-1.514,-4.32,2.198,6.833,0.58,1.113,17.394,78.91,215.609,9.517,1.74,28.958,14.855,868.328,341.597,10763.437,2690.85,33354.655,0,0.297,11.451,0.002,0.006,0.061,0,0.008,0.757,3589.386,80673888,2998.575,189.838,5.289,11.656,1.471,4.606,44.121,546.909,0.029,1604.735,0.007,0.202,0.215,1.054,2.659,0.106,15.194,0.026,0.101,0.766,3.793,9.491
