iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
AUT,Austria,2021,,,,,,,,,6.113,445.645,,,,,,82,0.364,,,,,26.54,,,,73.06,4.03,0.24,14.48,10.84,39.69,0,3.4,0,4.03,51.45,1.25,6.48,65.93,,,,,,,,1601.226,21.963,,16.442,,,,,1198.708,,,,60.2,,,,,4388.995,,78.037,51.45,5689.438,,,,,,9.759,7.13,0,,,,,0,,5.157,,,,,375.978,,,,0,445.645,,,,,0,6.113,,7290.664,9043072,,5689.438,78.037,,,,,,1.896,,,,,138.227,,9.829,,,,,716.571,
BEL,Belgium,2021,,,,,,,,,5.147,434.135,,,,,,140,0.092,,,,,7.737,,,,89.99,5.05,0.09,24.85,21.14,0.37,50.03,3.62,0,5.05,23.23,5.41,12.4,98.11,,,,,,,,2136.287,25.329,,21.547,,,,,1817.348,,,,0.377,,,,,31.808,,74.671,73.26,6297.962,,,,,,-9.023,-8.12,50.994,,,,,4300.943,,3.69,,,,,311.202,,,,0,434.135,,,,,0,5.147,,8434.249,11632334,,1997.02,23.678,,,,,,5.514,,,,,465.083,,12.639,,,,,1065.994,
BIH,Bosnia and Herzegovina,2021,,,,,,,,,0.057,3.064,,,,,,,62.302,,,,,3367.592,,,,12.12,0.01,10.99,11.06,0.02,6.18,0,0.05,0,0.01,6.58,0.03,0.36,17.64,,,,,,,,3389.042,62.698,,0.113,,,,,6.128,,,,35.034,,,,,1893.696,,37.302,6.58,2016.266,,,,,,-45.545,-5.52,0,,,,,0,,0.283,,,,,15.321,,,,0,3.064,,,,,0,0.057,,5405.308,3263459,,2016.266,37.302,,,,,,0.17,,,,,9.193,,2.041,,,,,110.312,
BGR,Bulgaria,2021,,,,,,,,,3.866,263.896,,,,,,413,37.659,,,,,2570.812,,,,38.43,1.82,17.73,20.87,2.74,4.92,16.49,0.4,0,1.82,9.72,1.55,1.43,47.08,,,,,,,,3026.105,44.329,,5.82,,,,,397.294,,,,10.45,,,,,713.389,,55.671,26.21,3800.393,,,,,,-22.508,-8.65,35.025,,,,,2391.014,,0.85,,,,,57.999,,,,0,263.896,,,,,0,3.866,,6826.498,6896655,,1409.379,20.646,,,,,,3.292,,,,,224.747,,3.037,,,,,207.347,
HRV,Croatia,2021,,,,,,,,,7.041,254.798,,,,,,142,10.02,,,,,362.598,,,,18.77,1.04,1.48,4.64,3.13,6.81,0,0.03,0.11,1.15,10.13,0.08,2.09,14.77,,,,,,,,1136.793,31.415,,21.192,,,,,766.845,,,,46.107,,,,,1668.44,,68.585,10.13,2481.835,,,,,,21.311,4,0,,,,,0,,0.203,,,,,7.35,,,,26.95,281.748,,,,,0.745,7.786,,3618.628,4081657,,2481.835,68.585,,,,,,0.542,,,,,19.6,,14.15,,,,,512.047,
CYP,Cyprus,2021,,,,,,,,,1.17,49.359,,,,,,599,0,,,,,0,,,,5.13,0.06,0,4.31,0,0,0,4.31,0,0.06,0.82,0.5,0.26,5.13,,,,,,,,3545.609,84.016,,0,,,,,0,,,,0,,,,,0,,15.984,0.82,674.571,,,,,,0,0,0,,,,,0,,84.016,,,,,3545.609,,,,0,49.359,,,,,0,1.17,,4220.18,1215588,,674.571,15.984,,,,,,9.747,,,,,411.324,,5.068,,,,,213.888,
CZE,Czechia,2021,,,,,,,,,6.617,520.301,,,,,,403,40.33,,,,,3171.228,,,,72.77,5.58,34.01,42.6,6.56,2.55,30.74,2.03,0.01,5.59,10.99,2.24,0.61,84.33,,,,,,,,3972.194,50.516,,7.779,,,,,611.681,,,,3.024,,,,,237.772,,49.484,41.73,3891.071,,,,,,-15.886,-11.56,36.452,,,,,2866.32,,2.407,,,,,189.285,,,,0.932,521.234,,,,,0.012,6.629,,7863.265,10724553,,1024.751,13.032,,,,,,2.656,,,,,208.867,,0.723,,,,,56.879,
DNK,Denmark,2021,,,,,,,,,21.235,1224.777,,,,,,155,15.926,,,,,918.583,,,,37.84,7.12,5.34,8.7,2.12,0.02,0,1.24,0,7.12,24.83,1.4,16.29,33.53,,,,,,,,1496.568,25.947,,6.323,,,,,364.681,,,,0.06,,,,,3.44,,74.053,24.83,4271.239,,,,,,11.39,4.31,0,,,,,0,,3.698,,,,,213.304,,,,0,1224.777,,,,,0,21.235,,5767.806,5813302,,4271.239,74.053,,,,,,4.175,,,,,240.827,,48.583,,,,,2802.194,
EST,Estonia,2021,,,,,,,,,16.622,943.262,,,,,,693,0,,,,,0,,,,10.16,1.25,0,5.11,0.04,0.02,0,5.07,0,1.25,2.41,0.38,0.76,7.52,,,,,,,,3856.057,67.952,,0.532,,,,,30.184,,,,0.266,,,,,15.092,,32.048,2.41,1818.61,,,,,,25.984,2.64,0,,,,,0,,67.42,,,,,3825.872,,,,0,943.262,,,,,0,16.622,,5674.667,1325188,,1818.61,32.048,,,,,,5.053,,,,,286.752,,10.106,,,,,573.504,
FIN,Finland,2021,,,,,,,,,17.475,2213.266,,,,,,68,4.54,,,,,574.945,,,,87.93,12.28,3.19,10.7,3.46,15.54,23.6,4.05,0,12.28,35.97,0.35,7.8,70.27,,,,,,,,1928.497,15.227,,4.924,,,,,623.608,,,,22.115,,,,,2800.827,,84.773,59.57,10736.504,,,,,,20.084,17.66,33.585,,,,,4253.508,,5.763,,,,,729.945,,,,0,2213.266,,,,,0,17.475,,12665.001,5548361,,6482.996,51.188,,,,,,0.498,,,,,63.082,,11.1,,,,,1405.821,
